Id,SalePrice
2658,113926.63716955607
2718,158502.40830330396
2414,202655.60858257118
1989,100087.87829874357
625,192258.40439178364
333,96661.38941354984
1327,116789.62982830055
858,148380.40967683773
95,188372.37255043935
1568,169687.31992950384
2482,154216.20634809617
1364,107140.49272687017
2584,158647.08594157183
818,259893.53435941198
2673,152179.5587466188
2089,117470.67469727219
1297,134054.69020688444
790,133772.52621403063
2616,214595.65769286806
720,133253.96390651076
222,135137.46382436054
557,121780.17315842614
1148,214282.87794017486
2766,171992.0120836308
534,150396.43814568935
1452,117929.50070289952
630,146894.61378947287
2648,110855.92827440056
125,140421.67359952992
1904,80595.95192654352
1670,111573.81978676976
756,104896.76580199708
717,167805.23105241894
1032,149514.43607683692
852,210404.34239668248
1731,175429.78917792675
2639,108053.66116435199
2071,90200.50138440594
1267,102663.89726126535
1851,165929.2800134319
567,162963.03477048833
2439,203363.65266223985
1898,151627.04205194543
647,132677.9287058676
2256,217082.1346084931
979,98576.8808132086
1444,219552.64014770533
2485,125504.01145432882
157,126259.84053623777
88,130620.64070828783
2003,120759.87360444119
186,141366.67218395314
1425,228801.92810888603
2695,116692.84942597039
738,113143.75236915088
395,136839.63722657546
1353,149939.61685757345
1878,144965.1822469821
390,149278.5131745287
1456,245692.30874709578
1103,323954.8407201399
1387,115281.72415045221
2070,146015.45749620433
1199,163427.72288727688
2479,169149.47465937785
501,329804.02335534076
2362,110880.91978728495
1718,213844.5050252961
2188,93426.8764405814
1483,142813.43451652818
2557,104103.6121838789
437,351857.9609019079
2224,219991.56128256602
1628,159226.6496310326
397,140808.32912617928
587,216609.21936314393
971,159803.78323461468
2611,137434.42306766348
1887,105168.45355636839
2399,321596.21833370917
2148,192059.80133830913
304,97005.52029801428
1997,117829.04070108509
2817,135991.3102595519
1431,190256.04839833034
427,359685.3674046543
263,131497.72639807832
598,176443.23296227833
2895,228622.4675084841
687,117758.34299022454
1822,125232.89101840962
2191,97577.41160043616
179,105847.32035700459
1009,207795.52962395657
2010,131520.55047018203
1991,134399.1628617012
1411,178376.75890641726
1721,220484.0986117595
1144,190521.82986611518
593,184613.99908643065
575,249533.06801150792
1249,176820.10096687212
1604,132080.67870905355
1064,634147.7943804633
1923,141973.84596094597
1988,96967.0965077776
2325,168140.82564706125
114,228448.40814421177
2700,152356.0132333353
217,140375.9625283009
343,184914.17892176038
386,231972.98534776972
2005,129596.82916445317
2908,142044.0108392962
1814,205973.71138879558
2446,514092.88421700126
208,100615.9880914903
1679,121870.65144325867
822,275300.7052318769
6,183982.55618886938
1781,378458.4006027484
2397,286369.2670141031
2340,281090.54269163695
1618,177709.79566904192
2843,129184.13662749308
1061,349621.42245637486
2786,123325.00694692979
1935,135052.8619575172
1341,120641.99407927587
521,243074.54075349335
2136,143489.6492492524
996,206650.12437949068
227,151877.2454954661
135,145323.64379330756
1167,175490.54501607813
294,223063.41611305057
1776,203263.20546484206
540,145507.0649465042
1717,227145.9219121756
2303,127826.44085776701
116,170414.87403292747
127,136675.44502478564
1371,115912.01645226398
1014,151854.17724495707
1507,102029.65238329461
702,113624.96362373457
750,151331.92610154004
261,147778.75911072973
1559,70268.29358768086
577,223437.12675310508
2812,195662.59288386177
2080,146723.16976002505
1368,100891.57985755951
2376,128627.07459645087
659,90530.04656889351
1235,136259.4088660757
332,92527.85988863953
1917,128322.56623097413
2094,243275.65769100562
1460,271611.20939878793
1471,219314.1797390419
1509,119253.26848247727
1922,135327.67937926803
433,623389.5474658505
460,213882.70964747563
1116,231121.59941001915
1137,157722.4941343232
53,157308.5301059191
2354,291573.4300941135
1475,188658.14932870856
1761,163923.0770206344
842,147931.97123473402
2739,186763.38882858545
2509,145295.54646882156
1007,191471.69132995207
2610,184008.52645630244
1952,82406.04201705495
2719,156258.26187868835
2921,82756.07757871812
1966,150945.97057109218
292,129594.6326353868
1204,193387.58153097195
1829,274519.92628496105
2419,182572.75450651476
391,157361.4866048267
798,105833.09664319408
481,188794.124419919
193,151671.10926135548
555,129733.9455541205
899,88080.66756551797
2357,183097.99636451583
328,112979.70371144247
1356,105129.72576908409
1154,101898.67151553075
1730,189873.9427779335
2249,150610.11269494556
1119,278416.1372895073
2856,148363.81995695017
1394,151977.153055806
2587,114457.32285875527
61,361858.5849367579
2661,148560.60733373868
2711,129718.79736550355
1147,176938.28808588674
757,118931.50667228304
2623,107139.38169072519
2378,147984.41453497816
1413,117586.6873295711
1722,205022.46862567912
1112,249682.0766192497
1623,202537.4144900058
1201,186973.4148771442
1513,104097.51174940914
957,363097.1441398494
1171,233314.11154493745
1145,179486.29723481476
2726,240438.31797054704
703,115837.35018419725
760,82636.32308147976
1964,133318.84948519917
2512,174684.07043301995
159,129853.28934889643
1281,172882.43124811715
468,176821.1638520344
290,125517.16611067804
665,82820.51394337202
1463,250408.00256596264
1792,234232.92387343993
923,167175.22103254526
500,284650.7792183031
1408,150661.92267621547
331,81448.85345032632
170,121882.0317456123
2192,99631.98352772946
2571,183552.77349868367
2314,171075.841793157
2647,89699.56728671484
422,465185.2813728097
2457,422251.576289981
1838,203252.95226815843
2805,248046.1204442034
1645,157412.80083601523
1711,303578.1138895943
2825,238703.51567960106
322,294388.9304212297
2103,248152.73772925566
342,117054.73889479034
600,126640.961984835
488,196597.25591670204
1725,275344.67839876754
2246,276589.2377710786
2847,155092.15380516055
806,216094.15026528115
530,244178.9336022849
963,207679.44179075633
2678,125190.54597174653
171,94767.54733667543
2401,443482.06812702486
805,213555.20067195693
2259,214179.37955657745
1748,171841.03511216
1361,116826.18885850241
1677,110884.25888584263
1406,149561.06281319828
2322,245988.22292280957
688,163500.5774720997
143,148567.50589754595
804,197508.5465277999
1214,170035.99884696683
2828,132527.54611340968
1999,114665.32642684269
2467,209811.80407271153
2665,126286.01694389316
1538,368829.3797431643
398,127862.59099333714
2822,147357.53941308495
2157,137561.03803481595
1856,213199.3193150243
1269,109563.33216414631
2570,123036.55826571975
2320,219134.2869599962
1517,114811.36449179656
2304,114545.83654171556
1312,86815.97839642734
2012,137302.22812195006
506,225558.13131626847
2865,230759.02120209148
2367,98953.6769740813
554,84032.14011935685
238,133896.7597894921
1954,115211.39851039907
2488,123061.91631700251
2291,83841.75257261528
1969,106960.59927080026
2725,166804.71740463693
1482,142813.43451652818
2763,184743.3196305564
503,248124.61592062082
1584,220408.27093681632
1531,167876.54379180973
2210,150558.83214995696
459,310750.13910601026
556,124046.02865588223
1347,154351.58203985472
1290,88184.50043783698
1388,114836.38368349787
1571,275208.1508841205
2754,194829.3924948519
765,124352.0075252334
2494,128182.23095506273
2870,269867.79111218714
7,222311.76035371362
1114,265336.8261801946
2418,267185.7017714332
291,182331.36330484477
18,384183.661477558
